"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 25 07:18:32 GMT 2023","Wed Jan 25 07:18:32 GMT 2023","0","tests.ui_tests","test_auth_pages","TestRegisterPage","","","test_registration_negative[chrome-<script>alert(123)</script>-]",""
"broken","Wed Jan 25 07:18:35 GMT 2023","Wed Jan 25 07:18:35 GMT 2023","0","tests.ui_tests","test_auth_pages","TestRegisterPage","","","test_registration_negative[chrome-DS-<script>alert(123)</script>]",""
"broken","Wed Jan 25 07:18:34 GMT 2023","Wed Jan 25 07:18:34 GMT 2023","0","tests.ui_tests","test_auth_pages","TestRegisterPage","","","test_registration_negative[chrome-^$^&&#-]",""
"passed","Wed Jan 25 07:18:50 GMT 2023","Wed Jan 25 07:18:51 GMT 2023","321","tests.ui_tests","test_auth_pages","TestRegisterPage","","","test_registration_negative[chrome-JS    -<script>alert(123)</script>]",""
"broken","Wed Jan 25 07:18:41 GMT 2023","Wed Jan 25 07:18:41 GMT 2023","0","tests.ui_tests","test_auth_pages","TestRegisterPage","","","test_user_is_already_registered[chrome]",""
"broken","Wed Jan 25 07:18:36 GMT 2023","Wed Jan 25 07:18:36 GMT 2023","0","tests.ui_tests","test_auth_pages","TestRegisterPage","","","test_registration_negative[chrome-DS-+53252253f3252]",""
"passed","Wed Jan 25 07:18:54 GMT 2023","Wed Jan 25 07:18:55 GMT 2023","309","tests.ui_tests","test_auth_pages","TestRegisterPage","","","test_registration_negative[chrome-JS    -           ]",""
"broken","Wed Jan 25 07:18:40 GMT 2023","Wed Jan 25 07:18:40 GMT 2023","0","tests.ui_tests","test_auth_pages","TestRegisterPage","","","test_registration_negative[chrome-    J_S-+6787654354329]",""
"broken","Wed Jan 25 07:18:35 GMT 2023","Wed Jan 25 07:18:35 GMT 2023","0","tests.ui_tests","test_auth_pages","TestRegisterPage","","","test_registration_negative[chrome-^$^&&#-+6787654354329]",""
"passed","Wed Jan 25 07:18:53 GMT 2023","Wed Jan 25 07:18:53 GMT 2023","271","tests.ui_tests","test_auth_pages","TestRegisterPage","","","test_registration_negative[chrome-JS    -]",""
